Ministry_Key,Des_Grp,Type,Display_Type,DesGrp_Count_Reg,DesGrp_Percent_Reg,NonDesGrp_Count_Reg,NonDesGrp_Percent_Reg,Total_Count_Reg,Total_Percent_Reg,DesGrp_Count_Aux,DesGrp_Percent_Aux,NonDesGrp_Count_Aux,NonDesGrp_Percent_Aux,Total_Count_Aux,Total_Percent_Aux
AGRI,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,10,100.0
AGRI,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,54,100.0,<3,<3,S,S,16,100.0
AGRI,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,24,100.0,<3,<3,S,S,4,100.0
AGRI,DIS,Separations_Total,Total Separations,3,3.8,75,96.2,78,100.0,<3,<3,S,S,20,100.0
AGRI,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,30,100.0
BCPS,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,16,3.5,435,96.5,451,100.0,,,,,,
BCPS,DIS,Hiring_Other,Hired from Other Ministry,57,3.8,1442,96.2,1499,100.0,<3,<3,S,S,23,100.0
BCPS,DIS,Hiring_Outside,Hired from Outside,230,4.1,5394,95.9,5624,100.0,S,S,S,S,1216,100.0
BCPS,DIS,Hiring_TotalNew,Total New Hires to Ministry,287,4.0,6836,96.0,7123,100.0,75,6.1,1164,93.9,1239,100.0
BCPS,DIS,Hiring_TotalReg,Total New Regulars to Ministry,303,4.0,7271,96.0,7574,100.0,,,,,,
BCPS,DIS,Promotions_Other,Promoted from Other Organization,42,3.8,1063,96.2,1105,100.0,<3,<3,S,S,10,100.0
BCPS,DIS,Promotions_Same,Promoted Within Same Organization,106,3.3,3147,96.7,3253,100.0,<3,<3,S,S,20,100.0
BCPS,DIS,Promotions_Total,Total Promotions,148,3.4,4210,96.6,4358,100.0,<3,<3,S,S,30,100.0
BCPS,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,16,3.5,435,96.5,451,100.0
BCPS,DIS,Separations_BCPS,Left BC Government,222,5.4,3915,94.6,4137,100.0,15,3.0,477,97.0,492,100.0
BCPS,DIS,Separations_Other,Moved to Other Ministry,55,3.9,1346,96.1,1401,100.0,3,2.5,118,97.5,121,100.0
BCPS,DIS,Separations_Total,Total Separations,277,5.0,5261,95.0,5538,100.0,18,2.9,595,97.1,613,100.0
BCPS,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,34,3.2,1030,96.8,1064,100.0
BCPSA,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,2,100.0,,,,,,
BCPSA,DIS,Hiring_Other,Hired from Other Ministry,S,S,S,S,50,100.0,<3,<3,<3,<3,1,100.0
BCPSA,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,111,100.0,S,S,S,S,29,100.0
BCPSA,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,161,100.0,4,13.3,26,86.7,30,100.0
BCPSA,DIS,Hiring_TotalReg,Total New Regulars to Ministry,7,4.3,156,95.7,163,100.0,,,,,,
BCPSA,DIS,Promotions_Other,Promoted from Other Organization,4,9.3,39,90.7,43,100.0,<3,<3,<3,<3,1,100.0
BCPSA,DIS,Promotions_Same,Promoted Within Same Organization,7,9.0,71,91.0,78,100.0,,,,,0,100.0
BCPSA,DIS,Promotions_Total,Total Promotions,11,9.1,110,90.9,121,100.0,<3,<3,<3,<3,1,100.0
BCPSA,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,<3,<3,2,100.0
BCPSA,DIS,Separations_BCPS,Left BC Government,S,S,S,S,62,100.0,<3,<3,S,S,9,100.0
BCPSA,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,51,100.0,<3,<3,<3,<3,1,100.0
BCPSA,DIS,Separations_Total,Total Separations,4,3.5,109,96.5,113,100.0,<3,<3,S,S,10,100.0
BCPSA,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,12,100.0
CFD,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,5,3.8,128,96.2,133,100.0,,,,,,
CFD,DIS,Hiring_Other,Hired from Other Ministry,6,6.1,93,93.9,99,100.0,<3,<3,<3,<3,1,100.0
CFD,DIS,Hiring_Outside,Hired from Outside,42,4.2,963,95.8,1005,100.0,S,S,S,S,240,100.0
CFD,DIS,Hiring_TotalNew,Total New Hires to Ministry,48,4.3,1056,95.7,1104,100.0,17,7.1,224,92.9,241,100.0
CFD,DIS,Hiring_TotalReg,Total New Regulars to Ministry,53,4.3,1184,95.7,1237,100.0,,,,,,
CFD,DIS,Promotions_Other,Promoted from Other Organization,6,8.5,65,91.5,71,100.0,,,,,0,100.0
CFD,DIS,Promotions_Same,Promoted Within Same Organization,13,3.1,411,96.9,424,100.0,,,,,0,100.0
CFD,DIS,Promotions_Total,Total Promotions,19,3.8,476,96.2,495,100.0,,,,,0,100.0
CFD,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,S,S,S,S,133,100.0
CFD,DIS,Separations_BCPS,Left BC Government,40,5.7,661,94.3,701,100.0,S,S,S,S,115,100.0
CFD,DIS,Separations_Other,Moved to Other Ministry,6,4.8,119,95.2,125,100.0,<3,<3,S,S,20,100.0
CFD,DIS,Separations_Total,Total Separations,46,5.6,780,94.4,826,100.0,S,S,S,S,135,100.0
CFD,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,10,3.7,258,96.3,268,100.0
CITZ,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,44,100.0,,,,,,
CITZ,DIS,Hiring_Other,Hired from Other Ministry,S,S,S,S,132,100.0,<3,<3,<3,<3,2,100.0
CITZ,DIS,Hiring_Outside,Hired from Outside,15,4.9,290,95.1,305,100.0,S,S,S,S,91,100.0
CITZ,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,437,100.0,5,5.4,88,94.6,93,100.0
CITZ,DIS,Hiring_TotalReg,Total New Regulars to Ministry,24,5.0,457,95.0,481,100.0,,,,,,
CITZ,DIS,Promotions_Other,Promoted from Other Organization,6,6.1,92,93.9,98,100.0,<3,<3,<3,<3,1,100.0
CITZ,DIS,Promotions_Same,Promoted Within Same Organization,12,5.2,218,94.8,230,100.0,,,,,0,100.0
CITZ,DIS,Promotions_Total,Total Promotions,18,5.5,310,94.5,328,100.0,<3,<3,<3,<3,1,100.0
CITZ,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,44,100.0
CITZ,DIS,Separations_BCPS,Left BC Government,13,4.9,250,95.1,263,100.0,<3,<3,S,S,31,100.0
CITZ,DIS,Separations_Other,Moved to Other Ministry,4,4.0,95,96.0,99,100.0,<3,<3,S,S,8,100.0
CITZ,DIS,Separations_Total,Total Separations,17,4.7,345,95.3,362,100.0,<3,<3,S,S,39,100.0
CITZ,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,83,100.0
EAO,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,,,,,0,100.0,,,,,,
EAO,DIS,Hiring_Other,Hired from Other Ministry,S,S,S,S,13,100.0,,,,,0,100.0
EAO,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,28,100.0,<3,<3,S,S,6,100.0
EAO,DIS,Hiring_TotalNew,Total New Hires to Ministry,3,7.3,38,92.7,41,100.0,<3,<3,S,S,6,100.0
EAO,DIS,Hiring_TotalReg,Total New Regulars to Ministry,3,7.3,38,92.7,41,100.0,,,,,,
EAO,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,9,100.0,,,,,0,100.0
EAO,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,10,100.0,,,,,0,100.0
EAO,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,19,100.0,,,,,0,100.0
EAO,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,,,,,0,100.0
EAO,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,14,100.0,,,,,0,100.0
EAO,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,26,100.0,,,,,0,100.0
EAO,DIS,Separations_Total,Total Separations,<3,<3,S,S,40,100.0,,,,,0,100.0
EAO,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,,,,,0,100.0
EDUC,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,<3,<3,2,100.0,,,,,,
EDUC,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,48,100.0,,,,,0,100.0
EDUC,DIS,Hiring_Outside,Hired from Outside,S,S,S,S,85,100.0,<3,<3,S,S,16,100.0
EDUC,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,133,100.0,<3,<3,S,S,16,100.0
EDUC,DIS,Hiring_TotalReg,Total New Regulars to Ministry,4,3.0,131,97.0,135,100.0,,,,,,
EDUC,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,39,100.0,,,,,0,100.0
EDUC,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,31,100.0,,,,,0,100.0
EDUC,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,70,100.0,,,,,0,100.0
EDUC,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,<3,<3,2,100.0
EDUC,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,67,100.0,<3,<3,<3,<3,2,100.0
EDUC,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,33,100.0,<3,<3,<3,<3,2,100.0
EDUC,DIS,Separations_Total,Total Separations,<3,<3,S,S,100,100.0,<3,<3,S,S,4,100.0
EDUC,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,6,100.0
EMBC,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,6,100.0,,,,,,
EMBC,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,37,100.0,,,,,0,100.0
EMBC,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,31,100.0,<3,<3,S,S,43,100.0
EMBC,DIS,Hiring_TotalNew,Total New Hires to Ministry,<3,<3,S,S,68,100.0,<3,<3,S,S,43,100.0
EMBC,DIS,Hiring_TotalReg,Total New Regulars to Ministry,<3,<3,S,S,74,100.0,,,,,,
EMBC,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,21,100.0,,,,,0,100.0
EMBC,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,10,100.0,<3,<3,<3,<3,1,100.0
EMBC,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,31,100.0,<3,<3,<3,<3,1,100.0
EMBC,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,6,100.0
EMBC,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,17,100.0,<3,<3,<3,<3,2,100.0
EMBC,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,7,100.0,<3,<3,<3,<3,1,100.0
EMBC,DIS,Separations_Total,Total Separations,<3,<3,S,S,24,100.0,<3,<3,S,S,3,100.0
EMBC,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,9,100.0
EMPR,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,4,100.0,,,,,,
EMPR,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,30,100.0,,,,,0,100.0
EMPR,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,64,100.0,3,17.6,14,82.4,17,100.0
EMPR,DIS,Hiring_TotalNew,Total New Hires to Ministry,<3,<3,S,S,94,100.0,3,17.6,14,82.4,17,100.0
EMPR,DIS,Hiring_TotalReg,Total New Regulars to Ministry,<3,<3,S,S,98,100.0,,,,,,
EMPR,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,24,100.0,,,,,0,100.0
EMPR,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,36,100.0,,,,,0,100.0
EMPR,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,60,100.0,,,,,0,100.0
EMPR,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,4,100.0
EMPR,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,37,100.0,<3,<3,S,S,9,100.0
EMPR,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,21,100.0,<3,<3,S,S,5,100.0
EMPR,DIS,Separations_Total,Total Separations,<3,<3,S,S,58,100.0,<3,<3,S,S,14,100.0
EMPR,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,18,100.0
ENV,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,25,100.0,,,,,,
ENV,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,43,100.0,<3,<3,<3,<3,2,100.0
ENV,DIS,Hiring_Outside,Hired from Outside,S,S,S,S,187,100.0,S,S,S,S,44,100.0
ENV,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,230,100.0,3,6.5,43,93.5,46,100.0
ENV,DIS,Hiring_TotalReg,Total New Regulars to Ministry,7,2.7,248,97.3,255,100.0,,,,,,
ENV,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,29,100.0,<3,<3,<3,<3,1,100.0
ENV,DIS,Promotions_Same,Promoted Within Same Organization,S,S,S,S,98,100.0,<3,<3,S,S,3,100.0
ENV,DIS,Promotions_Total,Total Promotions,3,2.4,124,97.6,127,100.0,<3,<3,S,S,4,100.0
ENV,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,25,100.0
ENV,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,108,100.0,<3,<3,S,S,52,100.0
ENV,DIS,Separations_Other,Moved to Other Ministry,S,S,S,S,44,100.0,<3,<3,S,S,14,100.0
ENV,DIS,Separations_Total,Total Separations,4,2.6,148,97.4,152,100.0,<3,<3,S,S,66,100.0
ENV,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,91,100.0
FIN,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,3,100.0,,,,,,
FIN,DIS,Hiring_Other,Hired from Other Ministry,S,S,S,S,100,100.0,<3,<3,<3,<3,1,100.0
FIN,DIS,Hiring_Outside,Hired from Outside,12,3.4,341,96.6,353,100.0,<3,<3,S,S,42,100.0
FIN,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,453,100.0,<3,<3,S,S,43,100.0
FIN,DIS,Hiring_TotalReg,Total New Regulars to Ministry,15,3.3,441,96.7,456,100.0,,,,,,
FIN,DIS,Promotions_Other,Promoted from Other Organization,3,3.8,77,96.3,80,100.0,<3,<3,<3,<3,1,100.0
FIN,DIS,Promotions_Same,Promoted Within Same Organization,5,2.1,236,97.9,241,100.0,,,,,0,100.0
FIN,DIS,Promotions_Total,Total Promotions,8,2.5,313,97.5,321,100.0,<3,<3,<3,<3,1,100.0
FIN,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,3,100.0
FIN,DIS,Separations_BCPS,Left BC Government,S,S,S,S,222,100.0,<3,<3,S,S,6,100.0
FIN,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,87,100.0,<3,<3,<3,<3,1,100.0
FIN,DIS,Separations_Total,Total Separations,13,4.2,296,95.8,309,100.0,<3,<3,S,S,7,100.0
FIN,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,10,100.0
FLNRORD,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,48,100.0,,,,,,
FLNRORD,DIS,Hiring_Other,Hired from Other Ministry,S,S,S,S,165,100.0,<3,<3,S,S,3,100.0
FLNRORD,DIS,Hiring_Outside,Hired from Outside,28,4.5,598,95.5,626,100.0,<3,<3,S,S,190,100.0
FLNRORD,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,791,100.0,<3,<3,S,S,193,100.0
FLNRORD,DIS,Hiring_TotalReg,Total New Regulars to Ministry,36,4.3,803,95.7,839,100.0,,,,,,
FLNRORD,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,120,100.0,<3,<3,<3,<3,1,100.0
FLNRORD,DIS,Promotions_Same,Promoted Within Same Organization,S,S,S,S,545,100.0,<3,<3,S,S,6,100.0
FLNRORD,DIS,Promotions_Total,Total Promotions,24,3.6,641,96.4,665,100.0,<3,<3,S,S,7,100.0
FLNRORD,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,48,100.0
FLNRORD,DIS,Separations_BCPS,Left BC Government,27,5.5,463,94.5,490,100.0,<3,<3,S,S,77,100.0
FLNRORD,DIS,Separations_Other,Moved to Other Ministry,4,2.9,135,97.1,139,100.0,<3,<3,S,S,11,100.0
FLNRORD,DIS,Separations_Total,Total Separations,31,4.9,598,95.1,629,100.0,<3,<3,S,S,88,100.0
FLNRORD,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,3,2.2,133,97.8,136,100.0
GCPE,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,1,100.0,,,,,,
GCPE,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,13,100.0,,,,,0,100.0
GCPE,DIS,Hiring_Outside,Hired from Outside,S,S,S,S,123,100.0,<3,<3,S,S,9,100.0
GCPE,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,136,100.0,<3,<3,S,S,9,100.0
GCPE,DIS,Hiring_TotalReg,Total New Regulars to Ministry,5,3.6,132,96.4,137,100.0,,,,,,
GCPE,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,11,100.0,,,,,0,100.0
GCPE,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,36,100.0,,,,,0,100.0
GCPE,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,47,100.0,,,,,0,100.0
GCPE,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,<3,<3,1,100.0
GCPE,DIS,Separations_BCPS,Left BC Government,S,S,S,S,92,100.0,,,,,0,100.0
GCPE,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,32,100.0,,,,,0,100.0
GCPE,DIS,Separations_Total,Total Separations,4,3.2,120,96.8,124,100.0,,,,,0,100.0
GCPE,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,<3,<3,1,100.0
HLTH,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,4,100.0,,,,,,
HLTH,DIS,Hiring_Other,Hired from Other Ministry,S,S,S,S,76,100.0,,,,,0,100.0
HLTH,DIS,Hiring_Outside,Hired from Outside,19,7.0,251,93.0,270,100.0,<3,<3,S,S,45,100.0
HLTH,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,346,100.0,<3,<3,S,S,45,100.0
HLTH,DIS,Hiring_TotalReg,Total New Regulars to Ministry,23,6.6,327,93.4,350,100.0,,,,,,
HLTH,DIS,Promotions_Other,Promoted from Other Organization,3,4.7,61,95.3,64,100.0,,,,,0,100.0
HLTH,DIS,Promotions_Same,Promoted Within Same Organization,4,2.1,186,97.9,190,100.0,<3,<3,<3,<3,1,100.0
HLTH,DIS,Promotions_Total,Total Promotions,7,2.8,247,97.2,254,100.0,<3,<3,<3,<3,1,100.0
HLTH,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,4,100.0
HLTH,DIS,Separations_BCPS,Left BC Government,9,5.4,158,94.6,167,100.0,<3,<3,S,S,4,100.0
HLTH,DIS,Separations_Other,Moved to Other Ministry,7,5.8,114,94.2,121,100.0,<3,<3,S,S,3,100.0
HLTH,DIS,Separations_Total,Total Separations,16,5.6,272,94.4,288,100.0,<3,<3,S,S,7,100.0
HLTH,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,11,100.0
IRR,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,5,100.0,,,,,,
IRR,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,19,100.0,,,,,0,100.0
IRR,DIS,Hiring_Outside,Hired from Outside,S,S,S,S,31,100.0,<3,<3,S,S,10,100.0
IRR,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,50,100.0,<3,<3,S,S,10,100.0
IRR,DIS,Hiring_TotalReg,Total New Regulars to Ministry,3,5.5,52,94.5,55,100.0,,,,,,
IRR,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,17,100.0,,,,,0,100.0
IRR,DIS,Promotions_Same,Promoted Within Same Organization,S,S,S,S,31,100.0,,,,,0,100.0
IRR,DIS,Promotions_Total,Total Promotions,4,8.3,44,91.7,48,100.0,,,,,0,100.0
IRR,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,5,100.0
IRR,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,27,100.0,<3,<3,S,S,3,100.0
IRR,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,29,100.0,<3,<3,S,S,4,100.0
IRR,DIS,Separations_Total,Total Separations,4,7.1,52,92.9,56,100.0,<3,<3,S,S,7,100.0
IRR,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,12,100.0
JTT,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,8,100.0,,,,,,
JTT,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,50,100.0,,,,,0,100.0
JTT,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,71,100.0,<3,<3,S,S,20,100.0
JTT,DIS,Hiring_TotalNew,Total New Hires to Ministry,<3,<3,S,S,121,100.0,<3,<3,S,S,20,100.0
JTT,DIS,Hiring_TotalReg,Total New Regulars to Ministry,<3,<3,S,S,129,100.0,,,,,,
JTT,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,40,100.0,,,,,0,100.0
JTT,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,43,100.0,,,,,0,100.0
JTT,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,83,100.0,,,,,0,100.0
JTT,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,8,100.0
JTT,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,53,100.0,<3,<3,S,S,10,100.0
JTT,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,54,100.0,<3,<3,S,S,6,100.0
JTT,DIS,Separations_Total,Total Separations,3,2.8,104,97.2,107,100.0,<3,<3,S,S,16,100.0
JTT,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,24,100.0
LBR,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,<3,<3,1,100.0,,,,,,
LBR,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,10,100.0,,,,,0,100.0
LBR,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,23,100.0,<3,<3,<3,<3,2,100.0
